index,pro,lig
2014,430,2
2015,620,4
2016,529,5
2017,1579,3
2018,590,6
2019,981,6
2020,501,4
2021,1569,10
2022,337,2
2023,713,4
2024,733,12
2025,1052,4
2026,215,7
2027,620,4
2028,890,8
2029,3589,44
2030,384,15
2031,1348,9
2032,884,11
2033,4309,39
2034,5568,20
2035,452,5
2036,3286,6
2037,2130,50
2038,526,2
2039,1058,3
2040,2323,8
2041,263,10
2042,722,4
2043,2403,36
2044,556,5
2045,457,3
2046,588,4
2047,560,6
2048,517,4
2049,0,25
2050,677,5
2051,606,4
2052,298,5
2053,543,5
2054,1396,10
2055,1068,5
2056,1559,8
2057,301,1
2058,608,4
2059,224,4
2060,615,5
2061,692,3
2062,456,3
2063,517,11
2064,538,9
2065,1081,5
2066,1064,6
2067,4368,64
2068,2920,15
2069,1717,5
